,Primary_applicant_age_in_years,Gender,Marital_status,Number_of_dependents,Housing,Years_at_current_residence,Employment_status,Has_been_employed_for_at_least,Has_been_employed_for_at_most,Foreign_worker,Savings_account_balance,Balance_in_existing_bank_account_(lower_limit_of_bucket),Balance_in_existing_bank_account_(upper_limit_of_bucket),Months_loan_taken_for,Purpose,Principal_loan_amount,EMI_rate_in_percentage_of_disposable_income,Property,Has_coapplicant,Has_guarantor,Number_of_existing_loans_at_this_bank,Loan_history,high_risk_applicant
767,31,female,divorced/separated/married,1,rent,4,skilled employee / official,0 year,1 year,1,Low,0,0,10,used vehicle,2901000,1,real estate,0,0,1,existing loans paid back duly till now,Low Risk
768,28,male,single,1,rent,4,skilled employee / official,7 years,4 years,1,Low,0,2 lac,12,FF&E,3617000,1,car or other,0,0,3,critical/pending loans at other banks,Low Risk
769,63,male,single,1,own,4,unskilled - resident,7 years,4 years,1,Low,0,0,12,electronic equipment,1655000,2,real estate,0,0,2,critical/pending loans at other banks,Low Risk
770,26,female,divorced/separated/married,1,rent,4,skilled employee / official,7 years,4 years,1,Low,0,0,24,used vehicle,2812000,2,real estate,0,0,1,existing loans paid back duly till now,Low Risk
771,25,female,divorced/separated/married,1,own,2,management / self-employed / highly qualified employee / officer,1 year,4 years,1,Low,0,0,36,education,8065000,3,car or other,0,0,2,critical/pending loans at other banks,High Risk
772,36,male,single,1,own,4,management / self-employed / highly qualified employee / officer,7 years,4 years,1,Low,0,0,21,used vehicle,3275000,1,car or other,0,0,1,critical/pending loans at other banks,Low Risk
773,52,male,single,1,own,4,skilled employee / official,7 years,4 years,1,Medium,0,0,24,electronic equipment,2223000,4,building society savings agreement/life insurance,0,0,2,critical/pending loans at other banks,Low Risk
774,66,male,single,1,for free,4,unemployed / unskilled - non-resident,1 year,0 year,1,High,2 lac,0,12,new vehicle,1480000,2,car or other,0,0,3,critical/pending loans at other banks,Low Risk
775,25,female,divorced/separated/married,1,rent,4,skilled employee / official,1 year,4 years,1,Low,0,0,24,new vehicle,1371000,4,real estate,0,0,1,existing loans paid back duly till now,High Risk
776,37,male,single,1,own,4,skilled employee / official,4 years,7 years,1,Low,0,0,36,new vehicle,3535000,4,car or other,0,0,2,critical/pending loans at other banks,Low Risk
777,25,female,divorced/separated/married,1,own,1,skilled employee / official,4 years,7 years,1,Low,0,0,18,electronic equipment,3509000,4,real estate,0,1,1,existing loans paid back duly till now,Low Risk
778,38,male,single,1,own,2,management / self-employed / highly qualified employee / officer,7 years,4 years,1,Very high,0,0,36,used vehicle,5711000,4,car or other,0,0,2,critical/pending loans at other banks,Low Risk
779,67,female,divorced/separated/married,1,own,4,skilled employee / official,1 year,0 year,1,Low,0,2 lac,18,repair costs,3872000,2,car or other,0,0,1,existing loans paid back duly till now,Low Risk
780,25,male,single,1,own,2,skilled employee / official,4 years,7 years,1,Low,0,2 lac,39,electronic equipment,4933000,2,real estate,0,1,2,critical/pending loans at other banks,High Risk
781,60,male,single,1,own,4,skilled employee / official,7 years,4 years,1,Very high,0,0,24,new vehicle,1940000,4,real estate,0,0,1,critical/pending loans at other banks,Low Risk
782,31,male,single,1,own,2,unskilled - resident,1 year,4 years,1,Low,0,2 lac,12,career development,1410000,2,real estate,0,0,1,no loans taken/all loans paid back duly,Low Risk
783,23,female,divorced/separated/married,1,own,2,unskilled - resident,0 year,1 year,1,Medium,0,2 lac,12,new vehicle,836000,4,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,High Risk
784,60,male,divorced/separated,1,own,4,management / self-employed / highly qualified employee / officer,1 year,0 year,1,Low,0,2 lac,20,used vehicle,6468000,1,real estate,0,0,1,existing loans paid back duly till now,Low Risk
785,35,male,single,1,own,2,unskilled - resident,1 year,4 years,1,Very high,0,2 lac,18,business,1941000,4,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,Low Risk
786,40,male,single,1,own,4,skilled employee / official,7 years,4 years,1,High,0,0,22,electronic equipment,2675000,3,car or other,0,0,1,existing loans paid back duly till now,Low Risk
787,38,male,single,2,own,3,skilled employee / official,7 years,4 years,1,Low,0,0,48,used vehicle,2751000,4,car or other,0,0,2,critical/pending loans at other banks,Low Risk
788,50,male,single,1,for free,4,skilled employee / official,7 years,4 years,1,Low,0,2 lac,48,education,6224000,4,car or other,0,0,1,delay in paying off loans in the past,High Risk
789,27,male,single,1,own,3,skilled employee / official,1 year,4 years,1,Low,0,0,40,education,5998000,4,car or other,0,0,1,critical/pending loans at other banks,High Risk
790,39,female,divorced/separated/married,2,own,4,skilled employee / official,7 years,4 years,1,Low,0,2 lac,21,business,1188000,2,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,High Risk
791,41,male,single,2,own,4,management / self-employed / highly qualified employee / officer,7 years,4 years,1,Low,0,0,24,used vehicle,6313000,3,car or other,0,0,1,existing loans paid back duly till now,Low Risk
792,27,male,married/widowed,1,own,2,skilled employee / official,1 year,4 years,1,Low,0,0,6,FF&E,1221000,1,building society savings agreement/life insurance,0,0,2,critical/pending loans at other banks,Low Risk
793,51,male,divorced/separated,1,for free,4,skilled employee / official,7 years,4 years,1,Low,2 lac,0,24,FF&E,2892000,3,car or other,0,0,1,existing loans paid back duly till now,Low Risk
794,32,male,single,1,rent,3,skilled employee / official,7 years,4 years,1,High,0,0,24,FF&E,3062000,4,car or other,0,0,1,existing loans paid back duly till now,Low Risk
795,22,female,divorced/separated/married,1,rent,4,skilled employee / official,0 year,1 year,1,Medium,0,0,9,FF&E,2301000,2,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,Low Risk
796,51,male,single,2,for free,4,skilled employee / official,7 years,4 years,1,Low,0,0,18,used vehicle,7511000,1,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,High Risk
797,22,female,divorced/separated/married,1,rent,4,unskilled - resident,0 year,1 year,1,Low,0,0,12,FF&E,1258000,2,building society savings agreement/life insurance,0,0,2,critical/pending loans at other banks,Low Risk
798,54,male,married/widowed,1,own,4,skilled employee / official,7 years,4 years,1,Low,0,0,24,new vehicle,717000,4,car or other,0,0,2,delay in paying off loans in the past,Low Risk
799,35,male,single,1,own,2,unemployed / unskilled - non-resident,0 year,1 year,1,Low,0,2 lac,9,new vehicle,1549000,4,real estate,0,0,1,existing loans paid back duly till now,Low Risk
800,54,male,single,2,for free,4,skilled employee / official,7 years,4 years,1,Low,0,0,24,education,1597000,4,car or other,0,0,2,critical/pending loans at other banks,Low Risk
801,48,female,divorced/separated/married,1,rent,4,unskilled - resident,7 years,4 years,1,Low,0,2 lac,18,electronic equipment,1795000,3,real estate,0,1,2,critical/pending loans at other banks,Low Risk
802,24,female,divorced/separated/married,1,own,4,skilled employee / official,7 years,4 years,1,Low,0,0,20,FF&E,4272000,1,building society savings agreement/life insurance,0,0,2,critical/pending loans at other banks,Low Risk
803,35,male,single,1,own,4,skilled employee / official,7 years,4 years,1,Low,0,0,12,electronic equipment,976000,4,car or other,0,0,2,critical/pending loans at other banks,Low Risk
804,24,female,divorced/separated/married,1,rent,2,unemployed / unskilled - non-resident,1 year,0 year,1,Low,0,2 lac,12,new vehicle,7472000,1,real estate,0,0,1,existing loans paid back duly till now,Low Risk
805,24,male,single,1,own,1,skilled employee / official,4 years,7 years,1,Low,0,0,36,new vehicle,9271000,2,car or other,0,0,1,existing loans paid back duly till now,High Risk
806,26,male,married/widowed,1,own,3,unskilled - resident,0 year,1 year,0,Low,0,2 lac,6,electronic equipment,590000,3,real estate,0,0,1,existing loans paid back duly till now,Low Risk
807,65,male,single,1,own,4,skilled employee / official,7 years,4 years,1,Low,0,0,12,electronic equipment,930000,4,real estate,0,0,4,critical/pending loans at other banks,Low Risk
808,55,male,single,1,for free,2,management / self-employed / highly qualified employee / officer,1 year,0 year,1,Low,0,2 lac,42,used vehicle,9283000,1,car or other,0,0,1,all loans at this bank paid back duly,Low Risk
809,26,female,divorced/separated/married,1,rent,1,unemployed / unskilled - non-resident,0 year,1 year,1,Low,0,2 lac,15,new vehicle,1778000,2,real estate,0,0,2,no loans taken/all loans paid back duly,High Risk
810,26,male,married/widowed,1,own,2,skilled employee / official,0 year,1 year,1,Low,0,2 lac,8,business,907000,3,real estate,0,0,1,existing loans paid back duly till now,Low Risk
811,28,male,married/widowed,1,own,3,unskilled - resident,4 years,7 years,1,Low,0,2 lac,6,electronic equipment,484000,3,real estate,0,1,1,existing loans paid back duly till now,Low Risk
812,24,male,single,1,own,4,skilled employee / official,4 years,7 years,1,Low,0,0,36,used vehicle,9629000,4,car or other,0,0,2,critical/pending loans at other banks,High Risk
813,54,male,single,1,own,4,skilled employee / official,1 year,4 years,1,Low,0,0,48,domestic appliances,3051000,3,car or other,0,0,1,existing loans paid back duly till now,High Risk
814,46,male,single,2,for free,4,skilled employee / official,4 years,7 years,1,Low,0,0,48,new vehicle,3931000,4,car or other,0,0,1,existing loans paid back duly till now,High Risk
815,54,female,divorced/separated/married,1,rent,2,skilled employee / official,1 year,4 years,1,Low,0,2 lac,36,new vehicle,7432000,2,building society savings agreement/life insurance,0,0,1,delay in paying off loans in the past,Low Risk
816,62,male,divorced/separated,1,own,4,skilled employee / official,1 year,4 years,1,High,0,0,6,domestic appliances,1338000,1,real estate,0,0,1,existing loans paid back duly till now,Low Risk
817,24,female,divorced/separated/married,1,rent,2,skilled employee / official,4 years,7 years,1,Low,0,0,6,electronic equipment,1554000,1,car or other,0,0,2,critical/pending loans at other banks,Low Risk
818,43,male,divorced/separated,1,own,3,management / self-employed / highly qualified employee / officer,1 year,0 year,1,Low,0,0,36,electronic equipment,15857000,2,car or other,1,0,1,existing loans paid back duly till now,Low Risk
819,26,male,married/widowed,1,own,3,skilled employee / official,1 year,4 years,1,Low,0,0,18,electronic equipment,1345000,4,real estate,0,0,1,existing loans paid back duly till now,High Risk
820,27,male,married/widowed,1,own,2,skilled employee / official,1 year,4 years,1,Low,0,0,12,new vehicle,1101000,3,real estate,0,0,2,existing loans paid back duly till now,Low Risk
821,24,male,married/widowed,1,own,1,skilled employee / official,1 year,4 years,1,Low,2 lac,0,12,electronic equipment,3016000,3,car or other,0,0,1,existing loans paid back duly till now,Low Risk
822,41,male,single,2,own,2,skilled employee / official,7 years,4 years,1,Low,0,0,36,FF&E,2712000,2,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,High Risk
823,47,male,single,1,own,4,unskilled - resident,7 years,4 years,1,Low,0,0,8,new vehicle,731000,4,real estate,0,0,2,critical/pending loans at other banks,Low Risk
824,35,male,divorced/separated,1,own,2,management / self-employed / highly qualified employee / officer,0 year,1 year,1,Low,0,0,18,FF&E,3780000,3,car or other,0,0,2,critical/pending loans at other banks,Low Risk
825,30,male,married/widowed,1,own,3,skilled employee / official,7 years,4 years,1,Low,0,0,21,new vehicle,1602000,4,car or other,0,0,2,critical/pending loans at other banks,Low Risk
826,33,female,divorced/separated/married,1,rent,4,skilled employee / official,7 years,4 years,1,Low,0,0,18,new vehicle,3966000,1,real estate,0,0,3,critical/pending loans at other banks,High Risk
827,36,male,single,2,own,2,skilled employee / official,1 year,4 years,1,Low,0,0,18,business,4165000,2,car or other,0,0,2,no loans taken/all loans paid back duly,High Risk
828,47,male,single,1,for free,4,skilled employee / official,7 years,4 years,1,Low,0,0,36,used vehicle,8335000,3,car or other,0,0,1,existing loans paid back duly till now,High Risk
829,38,male,single,2,for free,4,skilled employee / official,1 year,4 years,1,Low,0,2 lac,48,business,6681000,4,car or other,0,0,1,delay in paying off loans in the past,Low Risk
830,44,male,single,2,own,2,skilled employee / official,1 year,4 years,1,High,0,0,24,business,2375000,4,car or other,0,0,2,delay in paying off loans in the past,Low Risk
831,23,female,divorced/separated/married,1,rent,3,skilled employee / official,0 year,1 year,1,Low,0,0,18,new vehicle,1216000,4,car or other,0,0,1,existing loans paid back duly till now,High Risk
832,29,male,single,1,rent,4,skilled employee / official,7 years,4 years,1,Low,0,0,45,business,11816000,2,car or other,0,0,2,no loans taken/all loans paid back duly,High Risk
833,42,female,divorced/separated/married,1,own,4,skilled employee / official,7 years,4 years,1,Low,0,2 lac,24,electronic equipment,5084000,2,car or other,0,0,1,existing loans paid back duly till now,Low Risk
834,25,female,divorced/separated/married,1,own,3,unskilled - resident,0 year,1 year,1,Low,2 lac,0,15,electronic equipment,2327000,2,real estate,0,0,1,existing loans paid back duly till now,High Risk
835,48,male,single,1,own,4,skilled employee / official,1 year,4 years,1,Low,0,0,12,new vehicle,1082000,4,car or other,0,0,2,no loans taken/all loans paid back duly,High Risk
836,21,female,divorced/separated/married,1,own,2,skilled employee / official,1 year,4 years,1,Low,0,0,12,electronic equipment,886000,4,car or other,0,0,1,existing loans paid back duly till now,Low Risk
837,23,female,divorced/separated/married,2,rent,3,unskilled - resident,0 year,1 year,1,Low,0,0,4,FF&E,601000,1,real estate,0,0,1,existing loans paid back duly till now,Low Risk
838,63,male,single,1,own,4,skilled employee / official,7 years,4 years,1,Low,0,0,24,used vehicle,2957000,4,building society savings agreement/life insurance,0,0,2,critical/pending loans at other banks,Low Risk
839,46,male,married/widowed,1,own,3,skilled employee / official,7 years,4 years,1,Low,0,0,24,electronic equipment,2611000,4,real estate,1,0,2,critical/pending loans at other banks,Low Risk
840,29,male,single,1,own,2,skilled employee / official,4 years,7 years,1,Low,0,0,36,FF&E,5179000,4,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,High Risk
841,28,male,single,1,own,2,unskilled - resident,1 year,4 years,1,Low,0,0,21,used vehicle,2993000,3,real estate,0,0,2,delay in paying off loans in the past,Low Risk
842,23,female,divorced/separated/married,1,own,4,skilled employee / official,0 year,1 year,1,Low,0,0,18,repair costs,1943000,4,real estate,0,0,1,existing loans paid back duly till now,High Risk
843,50,male,single,1,own,4,skilled employee / official,4 years,7 years,1,Low,0,0,24,business,1559000,4,car or other,0,0,1,all loans at this bank paid back duly,Low Risk
844,47,male,single,2,own,4,skilled employee / official,7 years,4 years,1,Low,0,0,18,FF&E,3422000,4,building society savings agreement/life insurance,0,0,3,existing loans paid back duly till now,Low Risk
845,35,male,single,1,own,3,skilled employee / official,4 years,7 years,1,Low,0,2 lac,21,FF&E,3976000,2,car or other,0,0,1,existing loans paid back duly till now,Low Risk
846,68,male,single,1,rent,4,skilled employee / official,1 year,4 years,1,Low,0,0,18,new vehicle,6761000,2,car or other,0,0,2,existing loans paid back duly till now,High Risk
847,28,male,married/widowed,1,own,2,skilled employee / official,0 year,1 year,1,Low,0,0,24,new vehicle,1249000,4,real estate,0,0,1,existing loans paid back duly till now,Low Risk
848,59,male,single,1,own,4,skilled employee / official,4 years,7 years,1,Low,0,0,9,electronic equipment,1364000,3,real estate,0,0,1,existing loans paid back duly till now,Low Risk
849,57,male,single,1,own,4,unskilled - resident,7 years,4 years,1,Low,0,0,12,electronic equipment,709000,4,real estate,0,0,1,existing loans paid back duly till now,High Risk
850,33,male,married/widowed,1,rent,2,skilled employee / official,1 year,4 years,0,Low,0,0,20,new vehicle,2235000,4,building society savings agreement/life insurance,0,1,2,critical/pending loans at other banks,High Risk
851,43,male,single,1,own,4,skilled employee / official,4 years,7 years,1,Low,0,0,24,used vehicle,4042000,3,building society savings agreement/life insurance,0,0,2,critical/pending loans at other banks,Low Risk
852,35,male,single,1,for free,4,skilled employee / official,1 year,4 years,1,Low,0,0,15,electronic equipment,1471000,4,car or other,0,0,2,critical/pending loans at other banks,Low Risk
853,32,male,single,2,for free,4,unskilled - resident,4 years,7 years,1,Low,0,0,18,new vehicle,1442000,4,car or other,0,0,2,all loans at this bank paid back duly,High Risk
854,45,male,single,2,own,2,skilled employee / official,7 years,4 years,1,Low,0,0,36,new vehicle,10875000,2,car or other,0,0,2,delay in paying off loans in the past,Low Risk
855,33,male,married/widowed,1,own,3,skilled employee / official,0 year,1 year,1,Medium,0,0,24,new vehicle,1474000,4,real estate,0,0,1,existing loans paid back duly till now,Low Risk
856,40,female,divorced/separated/married,1,own,3,skilled employee / official,4 years,7 years,1,Low,0,0,10,career development,894000,4,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,Low Risk
857,28,male,single,1,for free,2,skilled employee / official,1 year,4 years,1,Low,0,0,15,FF&E,3343000,4,car or other,0,0,1,critical/pending loans at other banks,Low Risk
858,29,female,divorced/separated/married,1,own,2,skilled employee / official,1 year,4 years,1,Low,0,0,15,new vehicle,3959000,3,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,High Risk
859,26,male,single,2,rent,2,skilled employee / official,1 year,4 years,0,Medium,0,0,9,new vehicle,3577000,1,real estate,0,1,1,existing loans paid back duly till now,Low Risk
860,27,male,single,1,own,2,skilled employee / official,1 year,4 years,1,Very high,0,0,24,used vehicle,5804000,4,real estate,0,0,2,critical/pending loans at other banks,Low Risk
861,28,male,married/widowed,1,own,2,skilled employee / official,1 year,4 years,1,Low,0,0,18,business,2169000,4,car or other,0,0,1,delay in paying off loans in the past,High Risk
862,35,female,divorced/separated/married,1,own,4,skilled employee / official,0 year,1 year,1,Low,0,0,24,electronic equipment,2439000,4,real estate,0,0,1,existing loans paid back duly till now,High Risk
863,32,male,single,2,own,2,unskilled - resident,0 year,1 year,1,Very high,0,0,27,FF&E,4526000,4,real estate,0,0,2,critical/pending loans at other banks,Low Risk
864,25,male,single,1,rent,2,unskilled - resident,1 year,4 years,1,Low,0,0,10,FF&E,2210000,2,real estate,0,0,1,existing loans paid back duly till now,High Risk
865,20,female,divorced/separated/married,1,rent,4,skilled employee / official,1 year,4 years,1,High,0,0,15,FF&E,2221000,2,car or other,0,0,1,existing loans paid back duly till now,Low Risk
866,27,female,divorced/separated/married,1,own,1,skilled employee / official,0 year,1 year,1,Low,0,0,18,electronic equipment,2389000,4,car or other,0,0,1,existing loans paid back duly till now,Low Risk
867,42,male,single,1,own,4,skilled employee / official,7 years,4 years,1,Low,0,0,12,FF&E,3331000,2,building society savings agreement/life insurance,0,0,1,critical/pending loans at other banks,Low Risk
868,37,male,single,1,own,2,skilled employee / official,7 years,4 years,1,Low,0,0,36,business,7409000,3,building society savings agreement/life insurance,0,0,2,existing loans paid back duly till now,Low Risk
869,24,female,divorced/separated/married,1,rent,4,skilled employee / official,7 years,4 years,1,Low,0,0,12,FF&E,652000,4,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,Low Risk
870,40,female,divorced/separated/married,1,own,4,skilled employee / official,4 years,7 years,1,High,0,0,36,FF&E,7678000,2,car or other,0,0,2,delay in paying off loans in the past,Low Risk
871,46,male,single,2,own,4,skilled employee / official,7 years,4 years,0,Low,2 lac,0,6,new vehicle,1343000,1,real estate,0,0,2,critical/pending loans at other banks,Low Risk
872,26,male,single,1,own,1,skilled employee / official,4 years,7 years,1,Medium,0,0,24,business,1382000,4,real estate,0,0,2,critical/pending loans at other banks,Low Risk
873,24,female,divorced/separated/married,1,own,1,skilled employee / official,0 year,1 year,1,Low,0,0,15,domestic appliances,874000,4,real estate,0,0,1,existing loans paid back duly till now,Low Risk
874,29,male,single,2,own,2,unskilled - resident,1 year,4 years,1,Low,0,0,12,FF&E,3590000,2,building society savings agreement/life insurance,1,0,1,existing loans paid back duly till now,Low Risk
875,40,female,divorced/separated/married,1,own,4,skilled employee / official,1 year,4 years,1,Very high,0,2 lac,11,new vehicle,1322000,4,car or other,0,0,2,critical/pending loans at other banks,Low Risk
876,36,male,single,1,for free,4,management / self-employed / highly qualified employee / officer,0 year,1 year,1,Low,0,0,18,electronic equipment,1940000,3,car or other,1,0,1,all loans at this bank paid back duly,Low Risk
877,28,male,single,1,own,2,skilled employee / official,7 years,4 years,1,Low,0,0,36,electronic equipment,3595000,4,car or other,0,0,1,existing loans paid back duly till now,Low Risk
878,27,male,single,1,for free,2,management / self-employed / highly qualified employee / officer,0 year,1 year,1,Low,0,0,9,new vehicle,1422000,3,car or other,0,0,1,existing loans paid back duly till now,High Risk
879,36,male,single,1,own,3,skilled employee / official,4 years,7 years,1,Low,0,0,30,electronic equipment,6742000,2,building society savings agreement/life insurance,0,0,2,critical/pending loans at other banks,Low Risk
880,38,male,single,1,own,3,management / self-employed / highly qualified employee / officer,4 years,7 years,1,Low,0,0,24,used vehicle,7814000,3,car or other,0,0,1,existing loans paid back duly till now,Low Risk
881,48,male,divorced/separated,1,for free,4,skilled employee / official,1 year,4 years,1,Low,0,0,24,used vehicle,9277000,2,car or other,0,0,1,existing loans paid back duly till now,Low Risk
882,36,male,single,1,own,4,skilled employee / official,7 years,4 years,1,Low,0,2 lac,30,new vehicle,2181000,4,real estate,0,0,2,critical/pending loans at other banks,Low Risk
883,65,female,divorced/separated/married,1,own,4,unemployed / unskilled - non-resident,1 year,0 year,1,Low,0,0,18,electronic equipment,1098000,4,car or other,0,0,2,critical/pending loans at other banks,Low Risk
884,43,male,divorced/separated,1,own,3,skilled employee / official,4 years,7 years,1,Low,0,2 lac,24,FF&E,4057000,3,car or other,0,0,1,existing loans paid back duly till now,High Risk
885,53,female,divorced/separated/married,1,own,4,skilled employee / official,0 year,1 year,1,Low,0,0,12,education,795000,4,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,High Risk
886,34,male,single,2,own,3,skilled employee / official,4 years,7 years,1,Low,0,2 lac,24,business,2825000,4,car or other,0,0,2,critical/pending loans at other banks,Low Risk
887,23,male,single,1,own,2,skilled employee / official,1 year,4 years,1,Low,0,2 lac,48,business,15672000,2,car or other,0,0,1,existing loans paid back duly till now,High Risk
888,34,male,single,1,own,4,management / self-employed / highly qualified employee / officer,7 years,4 years,1,Low,0,0,36,new vehicle,6614000,4,car or other,0,0,2,critical/pending loans at other banks,Low Risk
889,40,male,single,2,rent,4,skilled employee / official,0 year,1 year,1,Low,0,0,28,used vehicle,7824000,3,real estate,0,1,2,all loans at this bank paid back duly,Low Risk
890,43,male,single,2,own,4,management / self-employed / highly qualified employee / officer,7 years,4 years,1,Low,0,0,27,business,2442000,4,car or other,0,0,4,critical/pending loans at other banks,Low Risk
891,46,male,single,1,own,4,skilled employee / official,7 years,4 years,1,Low,0,0,15,electronic equipment,1829000,4,car or other,0,0,2,critical/pending loans at other banks,Low Risk
892,38,male,single,1,own,4,unskilled - resident,1 year,4 years,0,Low,0,0,12,new vehicle,2171000,4,building society savings agreement/life insurance,0,0,2,critical/pending loans at other banks,Low Risk
893,34,male,single,1,own,4,skilled employee / official,1 year,4 years,1,Low,0,2 lac,36,used vehicle,5800000,3,car or other,0,0,2,critical/pending loans at other banks,Low Risk
894,29,male,single,1,own,3,skilled employee / official,1 year,4 years,1,Low,0,0,18,electronic equipment,1169000,4,building society savings agreement/life insurance,0,0,2,critical/pending loans at other banks,Low Risk
895,31,male,single,2,own,2,management / self-employed / highly qualified employee / officer,4 years,7 years,1,Low,0,0,36,used vehicle,8947000,3,car or other,0,0,1,delay in paying off loans in the past,Low Risk
896,28,female,divorced/separated/married,1,rent,4,management / self-employed / highly qualified employee / officer,0 year,1 year,1,Low,0,0,21,electronic equipment,2606000,4,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,Low Risk
897,35,female,divorced/separated/married,1,own,2,skilled employee / official,4 years,7 years,0,Very high,0,0,12,FF&E,1592000,3,building society savings agreement/life insurance,0,0,1,critical/pending loans at other banks,Low Risk
898,33,female,divorced/separated/married,1,rent,4,unskilled - resident,4 years,7 years,1,Low,0,0,15,FF&E,2186000,1,real estate,0,0,1,existing loans paid back duly till now,Low Risk
899,42,male,single,1,own,3,skilled employee / official,1 year,4 years,1,Low,0,0,18,FF&E,4153000,2,car or other,1,0,1,existing loans paid back duly till now,High Risk
900,43,male,single,1,rent,4,skilled employee / official,7 years,4 years,1,Low,0,0,16,new vehicle,2625000,2,building society savings agreement/life insurance,0,1,1,critical/pending loans at other banks,High Risk
901,44,male,divorced/separated,1,own,4,skilled employee / official,0 year,1 year,1,Low,0,0,20,new vehicle,3485000,2,real estate,0,0,2,critical/pending loans at other banks,Low Risk
902,42,male,single,1,for free,4,skilled employee / official,7 years,4 years,1,Low,0,0,36,used vehicle,10477000,2,car or other,0,0,2,critical/pending loans at other banks,Low Risk
903,40,male,married/widowed,1,rent,2,skilled employee / official,1 year,4 years,1,Low,0,0,15,electronic equipment,1386000,4,real estate,0,0,1,existing loans paid back duly till now,Low Risk
904,36,male,single,1,own,1,management / self-employed / highly qualified employee / officer,7 years,4 years,1,Low,0,0,24,electronic equipment,1278000,4,real estate,0,0,1,existing loans paid back duly till now,Low Risk
905,20,male,single,2,rent,2,management / self-employed / highly qualified employee / officer,1 year,4 years,1,Low,0,0,12,electronic equipment,1107000,2,real estate,0,0,1,existing loans paid back duly till now,Low Risk
906,24,male,single,1,own,2,unskilled - resident,4 years,7 years,0,Low,0,0,21,new vehicle,3763000,2,real estate,1,0,1,existing loans paid back duly till now,Low Risk
907,27,male,married/widowed,1,own,2,skilled employee / official,1 year,4 years,1,Low,0,2 lac,36,education,3711000,2,car or other,0,0,1,existing loans paid back duly till now,Low Risk
908,46,female,divorced/separated/married,1,own,2,unskilled - resident,0 year,1 year,1,Low,0,0,15,used vehicle,3594000,1,building society savings agreement/life insurance,0,0,2,delay in paying off loans in the past,Low Risk
909,33,female,divorced/separated/married,1,own,2,unskilled - resident,1 year,4 years,1,Low,0,2 lac,9,new vehicle,3195000,1,real estate,0,0,1,existing loans paid back duly till now,Low Risk
910,34,female,divorced/separated/married,1,own,4,skilled employee / official,1 year,4 years,1,Low,0,0,36,electronic equipment,4454000,4,real estate,0,0,2,delay in paying off loans in the past,Low Risk
911,25,female,divorced/separated/married,1,own,4,unskilled - resident,0 year,1 year,1,Low,0,2 lac,24,FF&E,4736000,2,car or other,0,0,1,critical/pending loans at other banks,High Risk
912,25,female,divorced/separated/married,1,own,4,skilled employee / official,7 years,4 years,1,Low,0,2 lac,30,electronic equipment,2991000,2,car or other,0,0,1,existing loans paid back duly till now,Low Risk
913,28,male,divorced/separated,1,own,2,skilled employee / official,7 years,4 years,1,Very high,0,0,11,business,2142000,1,real estate,0,0,1,existing loans paid back duly till now,Low Risk
914,31,male,single,1,rent,2,skilled employee / official,1 year,4 years,1,Low,0,0,24,business,3161000,4,building society savings agreement/life insurance,0,0,1,all loans at this bank paid back duly,High Risk
915,32,female,divorced/separated/married,1,own,2,management / self-employed / highly qualified employee / officer,1 year,4 years,0,Low,0,2 lac,48,electronic equipment,18424000,1,building society savings agreement/life insurance,0,0,1,no loans taken/all loans paid back duly,High Risk
916,32,male,single,2,own,2,skilled employee / official,1 year,4 years,1,Medium,0,0,10,used vehicle,2848000,1,real estate,1,0,1,existing loans paid back duly till now,Low Risk
917,68,male,single,1,own,4,management / self-employed / highly qualified employee / officer,7 years,4 years,1,Low,0,0,6,new vehicle,14896000,1,car or other,0,0,1,existing loans paid back duly till now,High Risk
918,33,male,divorced/separated,1,own,1,skilled employee / official,1 year,0 year,1,Medium,0,0,24,FF&E,2359000,1,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,High Risk
919,39,male,single,1,rent,2,management / self-employed / highly qualified employee / officer,7 years,4 years,1,Low,0,0,24,FF&E,3345000,4,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,High Risk
920,28,female,divorced/separated/married,1,own,2,skilled employee / official,1 year,4 years,1,Low,0,0,18,FF&E,1817000,4,car or other,0,0,2,critical/pending loans at other banks,Low Risk
921,37,male,single,1,own,1,management / self-employed / highly qualified employee / officer,4 years,7 years,1,High,0,0,48,electronic equipment,12749000,4,car or other,0,0,1,delay in paying off loans in the past,Low Risk
922,22,female,divorced/separated/married,1,rent,4,skilled employee / official,0 year,1 year,1,Low,0,0,9,electronic equipment,1366000,3,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,High Risk
